Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,SMA_10,EMA_10,RSI,MACD
61,AAPL,2015-08-21 00:00:00+00:00,105.76,111.9,105.645,110.43,128275471,97.9005074377,103.5842169278,97.7940535955,102.2234591183,128275471,0.0,1.0,114.66399999999999,113.96171667302296,26.02791589209889,-3.3656502179440793
62,AAPL,2015-08-24 00:00:00+00:00,103.12,108.8,92.0,94.87,162206292,95.4566974941,100.7145916152,85.1630737923,87.8197914203,162206292,0.0,1.0,113.00399999999999,111.99048908774708,23.615429783265355,-4.031726804605626
63,AAPL,2015-08-25 00:00:00+00:00,103.74,111.11,103.5,111.11,103601599,96.0306225566,102.8529253158,95.8084580163,102.8529253158,103601599,0.0,1.0,112.029,110.49039619529377,25.365035555887445,-4.458177386125584
64,AAPL,2015-08-26 00:00:00+00:00,109.69,109.89,105.05,107.085,96774611,101.5384517856,101.7235889025,97.2432706726,99.1270408374,96774611,0.0,1.0,111.474,110.34486929942462,39.65113395935402,-4.266841774654026
65,AAPL,2015-08-27 00:00:00+00:00,112.92,113.24,110.02,112.25,84616056,104.5284162242,104.8246356113,101.8439280285,103.9082068824,84616056,0.0,1.0,111.251,110.81307571029248,45.724700270058335,-3.8106461613967753
66,AAPL,2015-08-28 00:00:00+00:00,113.29,113.31,111.54,112.17,53164407,104.8709198905,104.8894336022,103.2509701173,103.8341520356,53164407,0.0,1.0,110.984,111.26342623351074,46.39028302789718,-3.380286109284725
67,AAPL,2015-08-31 00:00:00+00:00,112.76,114.53,112.0,112.13,56229271,104.3803065306,106.0187700155,103.6767854862,103.7971246122,56229271,0.0,1.0,110.54400000000001,111.53553087718636,45.52899828021362,-3.0468668535355476
68,AAPL,2015-09-01 00:00:00+00:00,107.72,111.88,107.36,110.18,76845860,99.7148511837,103.5657032161,99.3816043732,101.9920377221,76845860,0.0,1.0,109.66600000000001,110.84179731771103,38.255364530775935,-3.1529700935778493
69,AAPL,2015-09-02 00:00:00+00:00,112.34,112.34,109.131,110.0,61888812,103.991518585,103.991518585,101.02099354370002,101.8254143168,61888812,0.0,1.0,109.399,111.11419802152041,46.66658220424467,-2.831621121034587
70,AAPL,2015-09-03 00:00:00+00:00,110.37,112.78,110.04,112.49,53233940,102.1679179832,104.3988202423,101.8624417402,104.1303714227,53233940,0.0,1.0,109.171,110.9788892025007,43.91917669077859,-2.704733793588616
71,AAPL,2015-09-04 00:00:00+00:00,109.27,110.45,108.51,108.97,49996311,101.14966384,102.2419728299,100.4461427956,100.8719581646,49996311,0.0,1.0,109.522,110.66818190975246,42.41751154877464,-2.6622467559191136
72,AAPL,2015-09-08 00:00:00+00:00,112.31,112.56,110.32,111.65,54843626,103.9637480175,104.1951694137,102.1216337039,103.3527955316,54843626,0.0,1.0,110.44099999999999,110.96669441951532,47.73598794993262,-2.356113073916859
73,AAPL,2015-09-09 00:00:00+00:00,110.15,114.02,109.77,113.76,85010804,101.9642671545,105.5466703673,101.6125066324,105.3059921153,85010804,0.0,1.0,111.08200000000002,110.81820447226404,44.584975015357756,-2.261722148428859
74,AAPL,2015-09-10 00:00:00+00:00,112.57,113.2825,109.9,110.27,62892831,104.2044262695,104.8639772486,101.7328457584,102.0753494247,62892831,0.0,1.0,111.37,111.13671284268682,48.67285098854363,-1.968946099702606
75,AAPL,2015-09-11 00:00:00+00:00,114.21,114.21,111.76,111.79,49915473,105.7225506284,105.7225506284,103.4546209459,103.4823915134,49915473,0.0,1.0,111.499,111.69549245882719,51.29499726350736,-1.5862988125273034
76,AAPL,2015-09-14 00:00:00+00:00,115.31,116.89,114.86,116.58,58363431,106.7408047716,108.2033879954,106.3242462585,107.9164254641,58363431,0.0,1.0,111.701,112.3526757761057,53.02831982004315,-1.1806771623184318
77,AAPL,2015-09-15 00:00:00+00:00,116.28,116.53,114.42,115.93,43341155,107.6387197887,107.8701411849,105.91694460120002,107.3147298341,43341155,0.0,1.0,112.053,113.06673483967275,54.56389349436581,-0.7720484943505852
78,AAPL,2015-09-16 00:00:00+00:00,116.41,116.54,115.44,116.25,37173489,107.7590589147,107.8793980408,106.8611438976,107.6109492212,37173489,0.0,1.0,112.922,113.67460131169948,54.7772705094753,-0.4327291847535406
79,AAPL,2015-09-17 00:00:00+00:00,113.92,116.49,113.715,115.66,64112641,105.4541018088,107.8331137615,105.264336264,107.0647947262,64112641,0.0,1.0,113.08,113.71921925978562,49.93964083683029,-0.3605818147301818
80,AAPL,2015-09-18 00:00:00+00:00,113.45,114.3,111.87,112.21,74285291,105.019029584,105.805862331,103.5564463602,103.871179459,74285291,0.0,1.0,113.388,113.67027029918948,49.05892968685585,-0.33743978049841417
81,AAPL,2015-09-21 00:00:00+00:00,115.21,115.37,113.66,113.67,50221965,106.6482362131,106.7963459067,105.2134235568,105.2226804127,50221965,0.0,1.0,113.982,113.95022117387022,52.44127378228447,-0.1750642291145823
82,AAPL,2015-09-22 00:00:00+00:00,113.4,114.18,112.5201,113.38,50346159,104.9727453048,105.6947800609,104.1582345588,104.9542315931,50346159,0.0,1.0,114.09100000000001,113.85018095459527,48.84910354281966,-0.19023934721427338
83,AAPL,2015-09-23 00:00:00+00:00,114.32,114.72,113.3,113.63,35756716,105.8243760427,106.1946502766,104.8801767463,105.1856529893,35756716,0.0,1.0,114.508,113.93560260329707,50.69771098685626,-0.12657040159761834
84,AAPL,2015-09-24 00:00:00+00:00,115.0,115.5,112.37,113.25,50219475,106.4538422403,106.9166850327,104.0192891526,104.8338924671,50219475,0.0,1.0,114.751,114.12912941026552,52.076339324940946,-0.020999912563510748
85,AAPL,2015-09-25 00:00:00+00:00,114.71,116.69,114.02,116.44,56151926,106.1853934208,108.0182508785,105.5466703673,107.7868294823,56151926,0.0,1.0,114.801,114.2347422481418,51.41602249954909,0.03881742115339648
86,AAPL,2015-09-28 00:00:00+00:00,112.44,114.57,112.44,113.85,50782189,104.0840871435,106.0557974389,104.0840871435,105.3893038179,50782189,0.0,1.0,114.51400000000001,113.90842546721008,46.4510175051723,-0.09584213130376895
